ind_income,genQ,te,tr,QMR,CAP,MA,vd,vma,O,P,alfa,epsilon,ft,ec,r_cc,r_tp,area,goalQ,temination,OF_value,income,income_vma,income_vd,cost_infraest,cost_transport,cost_acquis,cost_transf,y,z,x,R,Rmax,Rmin,Q_coll,Q_transf,goal_ratio,%income_vd,%income_vma
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.15,0.236,"[(1, 0.46499999999999997), (2, 0.2925), (3, 0.09), (4, 0.06)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.2,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-182757.3,207999.0,207999.0,0.0,240000.0,123023.1,-0.0,27733.2,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.46499999999999997), ((2, 3, 2), 0.2925), ((3, 3, 2), 0.09), ((4, 3, 2), 0.06)]","{1: 1.0000000000000002, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,1.0,0.9075,0.69333,1.146,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.15,0.236,"[(1, 0.46499999999999997), (2, 0.2925), (3, 0.09), (4, 0.06)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.25,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-181024.0,216665.6,216665.6,0.0,240000.0,123023.1,-0.0,34666.5,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.46499999999999997), ((2, 3, 2), 0.2925), ((3, 3, 2), 0.09), ((4, 3, 2), 0.06)]","{1: 1.0000000000000002, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,1.0,0.9075,0.69333,1.146,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.15,0.236,"[(1, 0.46499999999999997), (2, 0.2925), (3, 0.09), (4, 0.06)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-179290.6,225332.2,225332.2,0.0,240000.0,123023.1,-0.0,41599.8,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.46499999999999997), ((2, 3, 2), 0.2925), ((3, 3, 2), 0.09), ((4, 3, 2), 0.06)]","{1: 1.0000000000000002, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,1.0,0.9075,0.69333,1.146,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.25,0.236,"[(1, 0.775), (2, 0.4875), (3, 0.15), (4, 0.1)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.2,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-168091.8,261288.0,261288.0,0.0,240000.0,154541.4,-0.0,34838.4,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.6481818181818182), ((2, 3, 2), 0.4077272727272727), ((3, 3, 2), 0.05045454545454546), ((4, 3, 2), 0.033636363636363645)]","{1: 0.8363636363636364, 2: 0.8363636363636364, 3: 0.3363636363636364, 4: 0.3363636363636364}",0.836,0.336,1.1400000000000001,0.8709600000000001,1.44,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.25,0.236,"[(1, 0.775), (2, 0.4875), (3, 0.15), (4, 0.1)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.25,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-165914.4,272175.0,272175.0,-0.0,240000.0,154541.4,-0.0,43548.0,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.6462500000000069), ((2, 3, 2), 0.24374999999999297), ((3, 3, 2), 0.15), ((4, 3, 2), 0.1)]","{1: 0.8338709677419444, 2: 0.4999999999999999, 3: 1.0, 4: 1.0}",1.0,0.5,1.14,0.87096,1.44,-0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.25,0.236,"[(1, 0.775), (2, 0.4875), (3, 0.15), (4, 0.1)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-163737.0,283062.0,283062.0,0.0,240000.0,154541.4,-0.0,52257.6,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.5841322314049587), ((2, 3, 2), 0.36743801652892555), ((3, 3, 2), 0.11305785123966941), ((4, 3, 2), 0.07537190082644628)]","{1: 0.7537190082644628, 2: 0.7537190082644628, 3: 0.7537190082644628, 4: 0.7537190082644628}",0.754,0.754,1.14,0.87096,1.44,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.35,0.236,"[(1, 1.085), (2, 0.6825), (3, 0.21), (4, 0.13999999999999999)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.2,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-168091.8,261288.0,261288.0,0.0,240000.0,154541.4,-0.0,34838.4,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.5841322314049586), ((2, 3, 2), 0.3674380165289256), ((3, 3, 2), 0.11305785123966941), ((4, 3, 2), 0.07537190082644626)]","{1: 0.538370720188902, 2: 0.538370720188902, 3: 0.538370720188902, 4: 0.538370720188902}",0.538,0.538,1.14,0.87096,1.44,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.35,0.236,"[(1, 1.085), (2, 0.6825), (3, 0.21), (4, 0.13999999999999999)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.25,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-165914.4,272175.0,272175.0,0.0,240000.0,154541.4,-0.0,43548.0,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.62), ((2, 3, 2), 0.39), ((3, 3, 2), 0.12), ((4, 3, 2), 0.00999999999999999)]","{1: 0.5714285714285714, 2: 0.5714285714285714, 3: 0.5714285714285714, 4: 0.07142857142857138}",0.571,0.071,1.14,0.87096,1.44,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.35,0.236,"[(1, 1.085), (2, 0.6825), (3, 0.21), (4, 0.13999999999999999)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.1,0.0,250000,10,10,0.5,0.1,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.605,optimal,-163737.0,283062.0,283062.0,0.0,240000.0,154541.4,-0.0,52257.6,"[((3, 3), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 0.62), ((2, 3, 2), 0.39), ((3, 3, 2), 0.12), ((4, 3, 2), 0.00999999999999999)]","{1: 0.5714285714285714, 2: 0.5714285714285714, 3: 0.5714285714285714, 4: 0.07142857142857138}",0.571,0.071,1.14,0.87096,1.44,0.0,100.0
1,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.15,0.236,"[(1, 0.46499999999999997), (2, 0.2925), (3, 0.09), (4, 0.06)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.0,250000,10,10,0.5,0.1,0.2,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,no-optimal,,,,,,,,,,,,,,,,,,,
