ind_income,genQ,te,tr,QMR,CAP,MA,vd,vma,O,P,alfa,epsilon,ft,fop,ec,r_cc,r_tp,area,goalQ,temination,OF_value,income,income_vma,income_vd,cost_infraest,cost_transport,cost_acquis,cost_transf,y,z,x,R,Rmax,Rmin,Q_coll,Q_transf,goal_ratio,%income_vd,%income_vma,std_profit,maxmin_profit
0.0,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,204501.0,1567500.0,1567500.0,-0.0,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5500000000000005), ((2, 3, 2), 0.9342931937172766), ((3, 3, 2), 0.30000000000000004), ((4, 3, 2), 0.20000000000000004)]","{1: 1.0000000000000002, 2: 0.9582494294536171, 3: 1.0000000000000002, 4: 1.0000000000000002}",1.0,0.958,2.984293193717277,2.28,1.884,-0.0,100.0,-1.6757002107031473,0.0
0.01,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,208716.4,1571715.3,1567500.0,4215.3,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.509293193717277), ((2, 3, 2), 0.9749999999999999), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 0.9737375443337272, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,0.974,2.984293193717277,2.28,1.884,0.3,99.7,-1.6426724020917798,0.009364479844175655
0.02,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,212931.7,1575930.7,1567500.0,8430.7,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.55), ((2, 3, 2), 0.9342931939784357), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 1.0, 2: 0.9582494297214725, 3: 1.0, 4: 1.0}",1.0,0.958,2.9842931939784356,2.2800000001995246,1.884,0.5,99.5,-1.6096453769839612,0.018728737539092766
0.03,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,217147.1,1580146.0,1567500.0,12646.0,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5500000000000005), ((2, 3, 2), 0.9342931937172766), ((3, 3, 2), 0.30000000000000004), ((4, 3, 2), 0.20000000000000004)]","{1: 1.0000000000000002, 2: 0.9582494294536171, 3: 1.0000000000000002, 4: 1.0000000000000002}",1.0,0.958,2.984293193717277,2.28,1.884,0.8,99.2,-1.5766175683725936,0.028093217383268365
0.04,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,221362.4,1584361.4,1567500.0,16861.4,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5500000000000005), ((2, 3, 2), 0.9342931937172766), ((3, 3, 2), 0.30000000000000004), ((4, 3, 2), 0.20000000000000004)]","{1: 1.0000000000000002, 2: 0.9582494294536171, 3: 1.0000000000000002, 4: 1.0000000000000002}",1.0,0.958,2.984293193717277,2.28,1.884,1.1,98.9,-1.5435905432647752,0.03745747507818542
0.05,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,225577.8,1588576.7,1567500.0,21076.7,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.509293193717277), ((2, 3, 2), 0.9749999999999999), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 0.9737375443337272, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,0.974,2.984293193717277,2.28,1.884,1.3,98.7,-1.5105627346534076,0.04682195492236102
0.06,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,229793.1,1592792.1,1567500.0,25292.1,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,1.6,98.4,-1.477535709545589,0.05618621261727813
0.07,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,234008.5,1597007.4,1567500.0,29507.4,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.5291419670286872), ((2, 3, 2), 0.961879624421271), ((3, 3, 2), 0.2959629613603911), ((4, 3, 2), 0.1973086409069274)]","{1: 0.986543204534637, 2: 0.986543204534637, 3: 0.986543204534637, 4: 0.986543204534637}",0.987,0.987,2.984293193717277,2.28,1.884,1.8,98.2,-1.4445079009342214,0.06555069246145379
0.08,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,238223.8,1601222.8,1567500.0,33722.8,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.509293193717277), ((2, 3, 2), 0.9749999999999999), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 0.9737375443337272, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,0.974,2.984293193717277,2.28,1.884,2.1,97.9,-1.411480875826403,0.0749149501563709
0.09,"[(1, 3.1), (2, 1.95), (3, 0.6), (4, 0.4)]",0.5,0.236,"[(1, 1.55), (2, 0.975), (3, 0.3), (4, 0.2)]","[(1, 0.38), (2, 0.76), (3, 1.14), (4, 1.52), (5, 1.9), (6, 2.28)]",0.2,0.25,550000,10,10,0.5,0.1,0.25,0.6,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.21,optimal,242439.2,1605438.1,1567500.0,37938.1,360000.0,404558.6,410340.3,188100.0,"[((3, 6), 1.0)]","[((2, 1), 1.0)]","[((1, 3, 2), 1.509293193717277), ((2, 3, 2), 0.9749999999999999), ((3, 3, 2), 0.3), ((4, 3, 2), 0.2)]","{1: 0.9737375443337272, 2: 1.0, 3: 1.0, 4: 1.0}",1.0,0.974,2.984293193717277,2.28,1.884,2.4,97.6,-1.3784530672150352,0.08427943000054655
