ind_income,genQ,te,tr,QMR,CAP,MA,vd,vma,O,P,alfa,ft,ec,r_cc,r_tp,area,goalQ,temination,OF_value,income,income_vma,income_vd,cost_infraest,cost_transport,cost_acquis,cost_transf,y,z,x,R,Rmax,Rmin,Q_coll,Q_transf,goal_ratio,vd/vma,%income_vd,%income_vma
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.1,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.685,optimal,288705.8823529412,524830.8823529412,222625.0,302205.8823529412,13500.0,0.0,222625.0,0.0,[],[],"[((1, 2, 2), 0.3888823529411765), ((2, 2, 2), 0.2235), ((3, 3, 2), 0.1485), ((4, 3, 2), 0.045)]","{1: 0.014332273449920507, 2: 0.022500000000000003, 3: 0.0225, 4: 0.0225}",0.022500000000000003,0.014332273449920507,0.8058823529411765,0.685,1.0,20.0,57.58157389635316,42.41842610364684
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.12,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.8220000000000001,optimal,280647.0588235294,561297.0588235294,267150.0,294147.0588235294,13500.0,0.0,267150.0,0.0,[],[],"[((1, 2, 2), 0.5500588235294118), ((2, 2, 2), 0.2235), ((3, 3, 2), 0.1485), ((4, 3, 2), 0.045)]","{1: 0.020272438213614682, 2: 0.022500000000000003, 3: 0.0225, 4: 0.0225}",0.022500000000000003,0.020272438213614682,0.9670588235294119,0.8220000000000001,1.0,20.0,52.40488155061019,47.59511844938981
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.14,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",0.9590000000000002,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.16,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.096,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.18,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.233,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.2,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.37,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.22,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.5070000000000001,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.24,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.6440000000000001,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.26,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.7810000000000001,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
1,"[(1, 4.07), (2, 1.49), (3, 0.99), (4, 0.3)]",0.15,0.15,"[(1, 0.6105), (2, 0.2235), (3, 0.1485), (4, 0.045)]","[(1, 0.38), (2, 1.14), (3, 2.28), (4, 3.8), (5, 5.7), (6, 7.98)]",0.28,50000,250000,4,2,0.5,0.3,13500,"[(1, 4000), (2, 4000), (3, 4000), (4, 4000), (5, 4000), (6, 4000), (7, 4000)]","[(1, 4000), (2, 4000)]","[(1, 20), (2, 30), (3, 40), (4, 50), (5, 60), (6, 70)]",1.9180000000000004,no-optimal,,,,,,,,,,,,,,,,,,20.0,,
